"source","line","symbol","phase_hint","family","task","file_sha256","disposition","condition_present"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TArray_Type.cpp","","","","Containers","4.3","214b46c6210e76d427d4c48bb0e9a9914b723cd9d82c84208b54713a5826a7b2","companion_no_output","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TArray.cpp","1084","Bind_TArray_TypeDeclarations","TypeDeclarations","Containers","4.3","85dd4252bace17112b203463aaa352fabd425ab2fc9d4d4f00fced77297bcde1","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TArray.cpp","1103","Bind_TArray_MethodSurface","TypeInfrastructure","Containers","4.3","85dd4252bace17112b203463aaa352fabd425ab2fc9d4d4f00fced77297bcde1","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TArray.cpp","1297","Bind_TArray_TypeInfrastructure","TypeInfrastructure","Containers","4.3","85dd4252bace17112b203463aaa352fabd425ab2fc9d4d4f00fced77297bcde1","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TMap_Type.cpp","","","","Containers","4.3","efd593f5c253fdfae880cad45e2adc4d8d7502b4781e02048968f83474fc5deb","companion_no_output","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TMap.cpp","492","Bind_TMap_TypeDeclarations","TypeDeclarations","Containers","4.3","4cadfca61dec6e5d7c0aee02772aa10427cabb733f6b7c359af4f8f106e57f5a","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TMap.cpp","511","Bind_TMap_MethodSurface","TypeInfrastructure","Containers","4.3","4cadfca61dec6e5d7c0aee02772aa10427cabb733f6b7c359af4f8f106e57f5a","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TMap.cpp","661","Bind_TMap_TypeInfrastructure","TypeInfrastructure","Containers","4.3","4cadfca61dec6e5d7c0aee02772aa10427cabb733f6b7c359af4f8f106e57f5a","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TOptional_Type.cpp","","","","Containers","4.3","0a88572a4fcf63d4671d0c635e7daef70a047c7c6ea6a16f435a6717bf672799","companion_no_output","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TOptional.cpp","246","Bind_TOptional_TypeDeclarations","TypeDeclarations","Containers","4.3","f720d2e6fcb53eb52b8e3145760bc41e6d3b459da45853cbbf485552dad27912","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TOptional.cpp","261","Bind_TOptional_MethodSurface","TypeInfrastructure","Containers","4.3","f720d2e6fcb53eb52b8e3145760bc41e6d3b459da45853cbbf485552dad27912","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TOptional.cpp","331","Bind_TOptional_TypeInfrastructure","TypeInfrastructure","Containers","4.3","f720d2e6fcb53eb52b8e3145760bc41e6d3b459da45853cbbf485552dad27912","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TSet_Type.cpp","","","","Containers","4.3","b3baf6d5612cec7076c4f6b58a4f0642b67c8378ba036f9095d20977862f8d8b","companion_no_output","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TSet.cpp","324","Bind_TSet_TypeDeclarations","TypeDeclarations","Containers","4.3","70d5ae354653d1abe4d7d25335c764b1324edb590b94092de6f267f3e99f82c7","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TSet.cpp","343","Bind_TSet_MethodSurface","TypeInfrastructure","Containers","4.3","70d5ae354653d1abe4d7d25335c764b1324edb590b94092de6f267f3e99f82c7","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_TSet.cpp","441","Bind_TSet_TypeInfrastructure","TypeInfrastructure","Containers","4.3","70d5ae354653d1abe4d7d25335c764b1324edb590b94092de6f267f3e99f82c7","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_ConfigEnums.cpp","20","Bind_ConfigEnums","TypeDeclarations","Core","4.1","a84bf66c6dd3172c90c9158352ea72422a98e88d63f69ff386082e6618235b00","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_CoreGlobals.cpp","69","Bind_CoreGlobals","ExplicitBindings","Core","4.1","2ac2546f09ff32179ff5c5aedec7dadb13289edc1bb296b7ca6b987fd06290d7","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FDateTime.cpp","166","Bind_FDateTime_ToStringContribution","TypeInfrastructure","Core","4.1","48fca4452d5496c5f6d8a3a59f1a3f8e5003612913c06c06309a9df3a35bbe27","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FDateTime.cpp","174","Bind_FDateTime","ExplicitBindings","Core","4.1","48fca4452d5496c5f6d8a3a59f1a3f8e5003612913c06c06309a9df3a35bbe27","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FFormatArgumentValue_Type.cpp","","","","Core","4.1","d7354491b53ff57bd8c4dc20bb04a681c705599f4424f6ea37973f36693cc4a6","companion_no_output","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FFormatArgumentValue.cpp","32","Bind_FFormatArgumentValue_Type","TypeDeclarations","Core","4.1","e205519a912c2d4c609deab2908a0b05e30d7df133ca40e3f8e0e8aba27ea790","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FFormatArgumentValue.cpp","42","Bind_FFormatArgumentValue_Infrastructure","TypeInfrastructure","Core","4.1","e205519a912c2d4c609deab2908a0b05e30d7df133ca40e3f8e0e8aba27ea790","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FFormatArgumentValue.cpp","50","Bind_FFormatArgumentValue","ExplicitBindings","Core","4.1","e205519a912c2d4c609deab2908a0b05e30d7df133ca40e3f8e0e8aba27ea790","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FFrameTime.cpp","33","Bind_FFrameTime","ExplicitBindings","Core","4.1","2ca0dd0b2dbc6e2b8902b215564c4c452022a88bf589da2bfe8618a31c760a4b","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FGuid.cpp","55","Bind_EGuidFormats","TypeDeclarations","Core","4.1","5cf08f69bf3785a16e2488140d908a5f9e33c60e13925cc9fcf0ee437d74a2ca","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FGuid.cpp","71","Bind_FGuid","ExplicitBindings","Core","4.1","5cf08f69bf3785a16e2488140d908a5f9e33c60e13925cc9fcf0ee437d74a2ca","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FName_Type.cpp","","","","Core","4.1","80f529814ed4b260e94e3e1a482c513e9b2e28d51a102b9c47ef25623573c048","companion_no_output","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FName.cpp","65","Bind_FName_Type","TypeDeclarations","Core","4.1","2c8c2587d44f04fa574fd0b3ae7239dc1685b4d627a8dc242c367d12116f3346","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FName.cpp","75","Bind_FName_Infrastructure","TypeInfrastructure","Core","4.1","2c8c2587d44f04fa574fd0b3ae7239dc1685b4d627a8dc242c367d12116f3346","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FName.cpp","84","Bind_FName","ExplicitBindings","Core","4.1","2c8c2587d44f04fa574fd0b3ae7239dc1685b4d627a8dc242c367d12116f3346","present","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FNumberFormattingOptions_Type.cpp","","","","Core","4.1","8d2fece711e23e341c5887c1db3f4bbb83092ce5821816124ee50345a9192369","companion_no_output","False"
"Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FNumberFormattingOptions.cpp","43","Bind_FNumberFormattingOptions_Type","TypeDeclarations","Core","4.1","ee6d267abbd33d4c2571441a744edf2ef318a7134c0c8f8b119f29f2820d3ed7","present","False"
