source,line,symbol,phase_hint,family,task,file_sha256
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_AActor.cpp,120,Bind_AActor,ExplicitBindings,EngineGameplay,5.5,3800c505632294fbb9bf0eb320f97114caf224990eb5806f4e402daefaa38926
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_AActor.cpp,194,Bind_Actors,PostReflectionBindings,EngineGameplay,5.5,3800c505632294fbb9bf0eb320f97114caf224990eb5806f4e402daefaa38926
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_APlayerController.cpp,60,Bind_AController,ExplicitBindings,EngineGameplay,5.5,f32ac7df2f7eff828c0f4bc7a472dd3e5c5846493a88ff8e0782980bdd99d5cc
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_APlayerController.cpp,74,Bind_APlayerController,ExplicitBindings,EngineGameplay,5.5,f32ac7df2f7eff828c0f4bc7a472dd3e5c5846493a88ff8e0782980bdd99d5cc
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_APlayerController.cpp,88,Bind_APawn,ExplicitBindings,EngineGameplay,5.5,f32ac7df2f7eff828c0f4bc7a472dd3e5c5846493a88ff8e0782980bdd99d5cc
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_AssetBundleData.cpp,58,Bind_AssetBundleData_Type,TypeDeclarations,EngineServices,5.6,1eba34b4e7952dc8a658e96fdf769821220f5fd8c3894da2bbe46ea71bb6bf1d
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_AssetBundleData.cpp,68,Bind_AssetBundleData,ExplicitBindings,EngineServices,5.6,1eba34b4e7952dc8a658e96fdf769821220f5fd8c3894da2bbe46ea71bb6bf1d
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_AssetManagerScriptMixins.cpp,21,Bind_AssetManagerScriptMixins,ExplicitBindings,EngineServices,5.6,9681cfd72f1a828b84b310eaba1082cd8210bb3669e403641cd9c8b4ebd16bda
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_AssetRegistry.cpp,93,Bind_AssetRegistry_ToStringContribution,TypeInfrastructure,EngineServices,5.6,6b1ee01f315d7ef979b88f571a2ea9f3e14c09ec282037013ea2595895c2fb08
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_AssetRegistry.cpp,104,Bind_AssetRegistry,ExplicitBindings,EngineServices,5.6,6b1ee01f315d7ef979b88f571a2ea9f3e14c09ec282037013ea2595895c2fb08
