"SourceFile","SourceLine","Provider","ProviderVariable","ProviderBindNameExpression","ProviderSourceLine","ProviderAttribution","RegistrationApi","BoundFunctionVariable","ArgumentCount","DeclarationExpression","LiteralDeclaration","CppTargetExpression","FluentTraits","HasNativeForm","NativeFormSource","EffectiveNativeFormMethods","EffectiveNativeCallableDisplays","NativeFormMethods","NativeFormArgumentCounts","NativeCallableDisplayExpressions","NativeCallableLiteralDisplays","NativeHeaderExpressions","NativeLiteralHeaders","ImplicitNativeFormMacro","ImplicitNativeFormMethod","ImplicitNativeCallableDisplay","ImplicitNativeTrivial","HasExternalDescriptor","ExternalDescriptorSource","ExternalDescriptorSourceLines","ExternalDescriptorHelpers","ExternalDescriptorLinkages","ExternalDescriptorSymbols","ExternalDescriptorIncludes","ExternalDescriptorOwningModules","HasCompileOut","CompileOutMethods","SourceEvidenceDisposition","SourceEvidenceReason","RequiredInstalledAuthority","JoinStatus"
"Binds/Bind_AActor.cpp","126","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""bool IsActorInitialized() const""","bool IsActorInitialized() const","METHOD_TRIVIAL(AActor, IsActorInitialized)",";","True","implicit-macro","NativeMethod","IsActorInitialized","","","","","","","METHOD_TRIVIAL","NativeMethod","IsActorInitialized","true","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","127","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""bool HasActorBegunPlay() const""","bool HasActorBegunPlay() const","METHOD_TRIVIAL(AActor, HasActorBegunPlay)",";","True","implicit-macro","NativeMethod","HasActorBegunPlay","","","","","","","METHOD_TRIVIAL","NativeMethod","HasActorBegunPlay","true","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","128","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""bool IsHidden() const""","bool IsHidden() const","METHOD_TRIVIAL(AActor, IsHidden)",";","True","implicit-macro","NativeMethod","IsHidden","","","","","","","METHOD_TRIVIAL","NativeMethod","IsHidden","true","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","129","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""FVector GetActorLocation() const""","FVector GetActorLocation() const","METHOD_TRIVIAL(AActor, GetActorLocation)",";","True","implicit-macro","NativeMethod","GetActorLocation","","","","","","","METHOD_TRIVIAL","NativeMethod","GetActorLocation","true","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","130","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""FRotator GetActorRotation() const""","FRotator GetActorRotation() const","METHOD_TRIVIAL(AActor, GetActorRotation)",";","True","implicit-macro","NativeMethod","GetActorRotation","","","","","","","METHOD_TRIVIAL","NativeMethod","GetActorRotation","true","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","131","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""void SetActorScale3D(FVector NewScale3D)""","void SetActorScale3D(FVector NewScale3D)","METHOD_TRIVIAL(AActor, SetActorScale3D)",";","True","implicit-macro","NativeMethod","SetActorScale3D","","","","","","","METHOD_TRIVIAL","NativeMethod","SetActorScale3D","true","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","132","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""void SetActorTickInterval(float32 TickInterval)""","void SetActorTickInterval(float32 TickInterval)","METHOD_TRIVIAL(AActor, SetActorTickInterval)",";","True","implicit-macro","NativeMethod","SetActorTickInterval","","","","","","","METHOD_TRIVIAL","NativeMethod","SetActorTickInterval","true","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","133","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""FString GetActorNameOrLabel() const""","FString GetActorNameOrLabel() const","METHOD_TRIVIAL(AActor, GetActorNameOrLabel)",";","True","implicit-macro","NativeMethod","GetActorNameOrLabel","","","","","","","METHOD_TRIVIAL","NativeMethod","GetActorNameOrLabel","true","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","134","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""UGameInstance GetGameInstance() const""","UGameInstance GetGameInstance() const","METHODPR_TRIVIAL(UGameInstance*, AActor, GetGameInstance, () const)",";","True","implicit-macro","NativeMethod","GetGameInstance","","","","","","","METHODPR_TRIVIAL","NativeMethod","GetGameInstance","true","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","138","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""void GetComponentsByClass(?& OutComponents) const""","void GetComponentsByClass(?& OutComponents) const","&FAngelscriptActorBinds::GetComponentsByClass",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
