"SourceFile","SourceLine","ProviderVariable","BindNameExpression","Provider","PhaseExpression","CallbackKind","CallbackExpression","OwnerModuleExpression","UsesDefaultSourceLocation"
"Binds/Bind_AActor.cpp","119","Bind_AActor","TEXT(""AActor.Manual"")","AActor.Manual","EAngelscriptBindPhase::ExplicitBindings","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_AActor.cpp","193","Bind_Actors","TEXT(""AActor.PostReflection"")","AActor.PostReflection","EAngelscriptBindPhase::PostReflectionBindings","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_APlayerController.cpp","60","Bind_AController","TEXT(""AController.Functions"")","AController.Functions","EAngelscriptBindPhase::ExplicitBindings","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_APlayerController.cpp","74","Bind_APlayerController","TEXT(""APlayerController.Functions"")","APlayerController.Functions","EAngelscriptBindPhase::ExplicitBindings","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_APlayerController.cpp","88","Bind_APawn","TEXT(""APawn.Functions"")","APawn.Functions","EAngelscriptBindPhase::ExplicitBindings","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_AssetBundleData.cpp","58","Bind_AssetBundleData_Type","TEXT(""AssetBundleData.Type"")","AssetBundleData.Type","EAngelscriptBindPhase::TypeDeclarations","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_AssetBundleData.cpp","68","Bind_AssetBundleData","TEXT(""AssetBundleData"")","AssetBundleData","EAngelscriptBindPhase::ExplicitBindings","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_AssetManagerScriptMixins.cpp","21","Bind_AssetManagerScriptMixins","TEXT(""AssetManagerScriptMixins.GeneratedOverrides"")","AssetManagerScriptMixins.GeneratedOverrides","EAngelscriptBindPhase::ExplicitBindings","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_AssetRegistry.cpp","93","Bind_AssetRegistry_ToStringContribution","TEXT(""AssetRegistry.TopLevelAssetPathToStringContribution"")","AssetRegistry.TopLevelAssetPathToStringContribution","EAngelscriptBindPhase::TypeInfrastructure","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_AssetRegistry.cpp","104","Bind_AssetRegistry","TEXT(""AssetRegistry.Manual"")","AssetRegistry.Manual","EAngelscriptBindPhase::ExplicitBindings","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_AVolume.cpp","33","Bind_AVolume","TEXT(""AVolume"")","AVolume","EAngelscriptBindPhase::ExplicitBindings","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_BlueprintEvent.cpp","586","Bind_BlueprintEvents","TEXT(""BlueprintEvents.HelperGlobals"")","BlueprintEvents.HelperGlobals","EAngelscriptBindPhase::ExplicitBindings","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
"Binds/Bind_BlueprintType.cpp","1067","Bind_BlueprintType_ReflectionBindings","TEXT(""BlueprintType.ReflectionBindings"")","BlueprintType.ReflectionBindings","EAngelscriptBindPhase::ReflectionBindings","InlineLambda","<inline-lambda>","UE_MODULE_NAME","True"
